nom_estab,codigo_act,nombre_act,alcaldia,latitud,longitud,sector_v1
CENTROCOMUNITARIOCAFETALES PROFESORA DE GIMNASIA ARTISTICA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Coyoacán,19.31027694,-99.10757614,público
CENTROS DE DESARROLLO COMUNITARIO INTEGRAL,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Tlalpan,19.29067559,-99.18255713,público
CENTROS DE INTEGRACION JUVENIL,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.34715622,-99.06589491,público
CENTROS DE INTEGRACION JUVENIL,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Coyoacán,19.35712631,-99.15549012,público
CENTROS DE INTEGRACION JUVENIL,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Gustavo A. Madero,19.46912121,-99.07232414,público
CENTROS DE INTEGRACION JUVENIL,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.36631509,-99.11490345,público
CENTROS DE INTEGRACION JUVENIL,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Benito Juárez,19.39840871,-99.14823474,público
CENTROS DE INTEGRACION JUVENIL AC,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Azcapotzalco,19.49895564,-99.19934001,público
CENTROS DE INTEGRACION JUVENIL AC LOCAL TLAPAN,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Tlalpan,19.28522897,-99.15849559,público
CENTROS DE INTEGRACION JUVENIL CUAJIMALPA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Cuajimalpa de Morelos,19.35794578,-99.29281205,público
CENTROS DE INTEGRACION JUVENIL MIGUEL HIDALGO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Miguel Hidalgo,19.43434803,-99.17485928,público
CIELO CENTRO INTEGRAL DE ESPARCIMIENTO LUDICO Y ORIENTACION,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Tlalpan,19.302344,-99.17197864,público
COMER Y CRECER,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Álvaro Obregón,19.38561143,-99.21065919,público
DIF ADOLFO LOPEZ MATEOS,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Venustiano Carranza,19.42120513,-99.0717877,público
