stop_id,stop_name,grupo_stop_id
0100C830-FTECONCORDI,Av. de las Fuentes - Fuente de Concordia,351
0100C830-BSQSAPOLO,Av. de los Bosques  - Fuente Apolo,352
0100C821-PLZBOSQUES,Plaza Bosques,353
0100C821-VIRRETARAHUM,De Los Virreyes - Sierra Tarahumara,354
0100C821-VIRREHIMALAY,De Los Virreyes - Montes Himalaya,355
0100C811-URALESVOLCN,Montes Urales - Volcán,356
0100C811-URALANDES,Montes Urales - Coordillera de los Andes,357
0100C811-ANDESMOJADA,Coordillera de los Andes - Sierra Mojada,358
0100C810-MOJACANDES,Sierra Mojada - Coordillera de los Andes,358
0100C810-PALMOJADA,Paseo de las Palmas - Sierra Mojada,359
0100C811-GAMONPALM,Sierra Gamón - Paseo de las Palmas,359
0100C810-PALMGAMON,Paseo de las Palmas - Sierra Gamón,359
0100C810-PALMSTANOVOI,Paseo de las Palmas - Monte Stanovoi,360
0100C811-PALMSTANOVOI,Paseo de las Palmas - Monte Stanovoi,360
0100C811-PALMTORRESP,Paseo de las Palmas - Torres Palmas,361
0100C811-PALMTETABOR,Paseo de las Palmas - Monte Tabor,362
0100C811-PALMSGORDA,Paseo de las Palmas - Sierra Gorda,363
0100C810-PALMVENTANA,Paseo de las Palmas - Sierra Ventana,364
0100C811-PALMPEROTE,Paseo de las Palmas - Cofre de Perote,364
0100C811-PALMCHIMBOR,Paseo de las Palmas - Monte Chimborazo,365
0100C811-PALMACONCAG,Paseo de las Palmas - Sierra Aconcagua,366
0100C810-PALMANTUCO,Paseo de las Palmas - Monte Antuco,367
0100C811-PALMANTUCO,Paseo de las Palmas - Monte Antuco,367
0100C811-PALMLIBANO,Paseo de las Palmas - Monte Líbano,368
0100C810-PALMLIBANO,Paseo de las Palmas - Monte Líbano,368
0100C811-PALMTARAHUM,Paseo de las Palmas - Sierra Tarahumara,369
0100C811-PALMROCALLO,Paseo de las Palmas - MontaNas Rocallosas,370
0100C811-PALMAUVERNIA,Paseo de la Reforma - Sierra Auvernia,371
0100C810-PALMAUVERNIA,Paseo de las Palmas - Auvernias,371
0100C811-PALMPASEOREF,Paseo de las Palmas - Paseo de la Reforma,372
0100C811-REFSIERBRENA,Paseo de la Reforma - Sierra BreNa,373
0100C811-REFWINFORD,Paseo de la Reforma - Castillo Winford,374
0100C811-REFCASTILCHA,Paseo de la Reforma - Castillo de Chapultepec,375
0100C811-REFRIVCUPIA,Paseo de la Reforma - Rivera de Cupia,376
0100C811-REFCONSTIYTS,Paseo de la Reforma - Constituyentes,377
0100C811-PTECONAFRUT,Puente Conafrut,378
010C1801-PREFSUR,Paseo de la Reforma y Prados Sur,379
0100C810-PRADNREFORM,Prado Norte - Paseo de la Reforma,379
0100C810-MOJAPRADONT,Sierra Mojada - Prado Norte,380
0100C810-PALMTETABOR,Paseo de las Palmas - Monte Tabor,381
0100C810-PALMSMAIKA,Paseo de las Palmas - Sierra Maika,382
0100C810-PALMCHIMBOR,Paseo de las Palmas - Monte Chimborazo,383
0100C810-PALMCALIZAS,Paseo de las Palmas - MontaNas Calizas,384
0100C810-PALMACONCAG,Paseo de las Palmas - Sierra Aconcagua,385
0100C810-PALMARARAT,Paseo de las Palmas - Monte Ararat,386
0100C810-PALMTARAHUM,Paseo de las Palmas - Sierra Tarahumara,387
0100C810-PALMROCALLO,Paseo de las Palmas - MontaNas Rocallosas,388
0100C810-REFSIERBRENA,Paseo de la Reforma - Sierra BreNa,389
0100C810-REFCMIRAMAR,Paseo de la Reforma - Castillo de Miramar,390
0100C810-REFRICUPIA,Paseo de la Reforma - Rivera de Cupia,391
0100C810-REFCONSTITYN,Paseo de la Reforma - Av. Constituyentes,392
0100C810-REFACUEDUCT,Paseo de la Reforma - Acueducto,393
0100C81-MCHAPULTEPE,Base Metro Chapultepec,394
010241-DNTECHAP,Sobre Av. Veracruz y Av. Chapultepec,394
0100C81-REFGANDHI,Paseo de la Reforma - Gandhi,395
0100C81-REFPETROLEO,Paseo de la Reforma - Fuente de Petróleos,396
010C1800-PREFPETRO,Paseo de la Reforma y Fuente de Petroleos,396
0100C80-REFURALES,Paseo de la Reforma - Montes Urales,397
0100C81-REFURALES,Paseo de la Reforma - Montes Urales,397
0100C81-REFMTEALTAI,Paseo de la Reforma - Monte Altai,398
0100C81-REFEXPLANADA,Paseo de la Reforma - Explanada,399
0100C81-REFMTEBLANCO,Paseo de la Reforma - Monte Blanco,400
0100C81-REFPRADOSUR,Paseo de la Reforma - Prado Sur,401
0100C81-REFMTELIBANO,Paseo de la Reforma - Monte Líbano,402
0100C80-REFMTELIBANO,Paseo de la Reforma - Monte Líbano,402
0100C81-REFEXPLANAD,Paseo de la Reforma - Explanada,403
0100C81-REFTARAHUPTE,Paseo de la Reforma - Sierra Tarahumara Poniente,404
0100C81-REFAPALACHES,Paseo de la Reforma - Montes Apalaches,405
